,mal_id,score,english_name,type,episodes,premiered,studios,source,duration,ranked,popularity,members,favorites,watching,completed,on-hold,dropped,plan_to_watch,genres1,genres2,genres3,genres4,genres5,rating_clean,aired_start,aired_stop,aired_start_y,aired_stop_y,airing_time_days,rating_tot,airing_time_category,total_watch,dropped_rate
879,5114,9.19,Fullmetal Alchemist:Brotherhood,TV,64,2009,Bones,Manga,24 min. per ep.,1.0,3,2248456,183914,171871,1644938,75728,32456,323463,Action, Military, Comedy, Drama, Magic,R,2009-04-05,2010-07-04,2009,2010,455 days,-0.42169482192844526,very_long,1753122,0.01851325806190328
2281,40028,9.17,Attack on Titan Final Season,TV,16,2021,MAPPA,Manga,23 min. per ep.,2.0,119,733260,44862,566239,553,6658,2090,157720,Action, Military, Super Power, Drama, Fantasy,R,2020-12-07,2022-05-30,2020,2022,539 days,-0.3498583452516432,very_long,9301,0.22470702075045695
1051,9253,9.11,Steins;Gate,TV,24,2011,White Fox,Visual novel,24 min. per ep.,3.0,9,1771162,148452,114349,1134756,60926,35600,425531,Thriller, Sci-Fi,,,,PG-13,2011-04-06,2011-09-14,2011,2011,161 days,-0.39967807916890474,long,1231282,0.02891295414048122
1586,28977,9.1,Gintama Season 4,TV,51,2015,Bandai Namco Pictures,Manga,24 min. per ep.,5.0,329,404121,11868,48011,167130,16612,11472,160896,Action, Comedy, Parody, Samurai, Sci-Fi,PG-13,2015-04-08,2016-03-30,2015,2016,357 days,-0.31537349132096654,very_long,195214,0.05876627700882109
1136,11061,9.1,Hunter x Hunter,TV,148,2011,Madhouse,Manga,23 min. per ep.,6.0,12,1673924,147274,227277,1094486,79587,31652,240922,Action, Adventure, Shounen, Super Power,,PG-13,2011-10-02,2014-09-24,2011,2014,1088 days,-0.3982262666474137,very_long,1205725,0.026251425490887225
2202,38524,9.1,Attack on Titan Season 3 Part 2,TV,10,2019,Wit Studio,Manga,23 min. per ep.,4.0,63,1073626,40985,54607,906824,5533,3099,103563,Action, Drama, Military, Mystery, Shounen,R,2019-04-29,2019-07-01,2019,2019,63 days,-0.34704549466568485,short,915456,0.0033851981963087248
1079,9969,9.08,Gintama Season 2,TV,51,2011,Sunrise,Manga,24 min. per ep.,7.0,362,365579,6567,26492,190008,10615,7084,131380,Action, Sci-Fi, Historical, Parody, Samurai,PG-13,2011-04-04,2012-03-26,2011,2012,357 days,-0.3092597352849484,very_long,207707,0.03410573548315656
1260,15417,9.04,Gintama:Enchousen,TV,13,2012,Sunrise,Manga,24 min. per ep.,9.0,660,222819,2586,7800,143353,2753,2012,66901,Action, Comedy, Parody, Samurai, Sci-Fi,PG-13,2012-10-04,2013-03-28,2012,2013,175 days,-0.28374922115068185,long,148118,0.013583764296034242
1981,35180,9.0,March Comes In Like A Lion 2nd Season,TV,22,2017,Shaft,Manga,25 min. per ep.,10.0,545,266243,11133,20273,148885,7103,3166,86816,Drama, Game, Slice of Life,,,PG-13,2017-10-14,2018-03-31,2017,2018,168 days,-0.29277567763887336,long,159154,0.019892682559030875
1897,34096,8.99,Gintama Season 5,TV,12,2017,Bandai Namco Pictures,Manga,24 min. per ep.,12.0,730,201735,2397,11770,115105,3388,2273,69199,Action, Comedy, Parody, Samurai, Sci-Fi,PG-13,2017-01-09,2017-03-27,2017,2017,77 days,-0.2751916885845714,short,120766,0.018821522613980755
